"timeMillisSpent","score"
7670,"0hard/-1065950soft"
7689,"0hard/-1065600soft"
7717,"0hard/-1065150soft"
7772,"0hard/-1064730soft"
7792,"0hard/-1064110soft"
7808,"0hard/-1063730soft"
7828,"0hard/-1063210soft"
7837,"0hard/-1062860soft"
7848,"0hard/-1062510soft"
7885,"0hard/-1062160soft"
7897,"0hard/-1061680soft"
7908,"0hard/-1061160soft"
7915,"0hard/-1060810soft"
7962,"0hard/-1060290soft"
7965,"0hard/-1059810soft"
7985,"0hard/-1059460soft"
7989,"0hard/-1059110soft"
7991,"0hard/-1058760soft"
8006,"0hard/-1058240soft"
8019,"0hard/-1057890soft"
8063,"0hard/-1057540soft"
8066,"0hard/-1057190soft"
8070,"0hard/-1056840soft"
8079,"0hard/-1056490soft"
8089,"0hard/-1056420soft"
8096,"0hard/-1055450soft"
8103,"0hard/-1055100soft"
8118,"0hard/-1054840soft"
8127,"0hard/-1054320soft"
8134,"0hard/-1053530soft"
8143,"0hard/-1052730soft"
8159,"0hard/-1052070soft"
8163,"0hard/-1051690soft"
8183,"0hard/-1051270soft"
8194,"0hard/-1050880soft"
8205,"0hard/-1050360soft"
8236,"0hard/-1050010soft"
8238,"0hard/-1049590soft"
8242,"0hard/-1049240soft"
8251,"0hard/-1048790soft"
8261,"0hard/-1048330soft"
8269,"0hard/-1047980soft"
8273,"0hard/-1047110soft"
8276,"0hard/-1046760soft"
8281,"0hard/-1045890soft"
8283,"0hard/-1045540soft"
8288,"0hard/-1045150soft"
8293,"0hard/-1044800soft"
8299,"0hard/-1044450soft"
8307,"0hard/-1043930soft"
8311,"0hard/-1043900soft"
8315,"0hard/-1043700soft"
8321,"0hard/-1043350soft"
8343,"0hard/-1042480soft"
8351,"0hard/-1041690soft"
8362,"0hard/-1041210soft"
8392,"0hard/-1040860soft"
8402,"0hard/-1040820soft"
8404,"0hard/-1040470soft"
8410,"0hard/-1040120soft"
8417,"0hard/-1039770soft"
8426,"0hard/-1039420soft"
8427,"0hard/-1039070soft"
8432,"0hard/-1038550soft"
8452,"0hard/-1037990soft"
8481,"0hard/-1037290soft"
8488,"0hard/-1036810soft"
8505,"0hard/-1036420soft"
8506,"0hard/-1036070soft"
8510,"0hard/-1035720soft"
8523,"0hard/-1035200soft"
8525,"0hard/-1034820soft"
8543,"0hard/-1034720soft"
8555,"0hard/-1034370soft"
8562,"0hard/-1033850soft"
8572,"0hard/-1033830soft"
8587,"0hard/-1033340soft"
8596,"0hard/-1033240soft"
8609,"0hard/-1032620soft"
8631,"0hard/-1032230soft"
8634,"0hard/-1031880soft"
8636,"0hard/-1031360soft"
8642,"0hard/-1030930soft"
8647,"0hard/-1030580soft"
8650,"0hard/-1030040soft"
8652,"0hard/-1029690soft"
8789,"0hard/-1029600soft"
8792,"0hard/-1029250soft"
8823,"0hard/-1028150soft"
8832,"0hard/-1027730soft"
8835,"0hard/-1027380soft"
8840,"0hard/-1026960soft"
8848,"0hard/-1026570soft"
8855,"0hard/-1026500soft"
8861,"0hard/-1026110soft"
8898,"0hard/-1025950soft"
8900,"0hard/-1025560soft"
8915,"0hard/-1025170soft"
8920,"0hard/-1024690soft"
8922,"0hard/-1024240soft"
8933,"0hard/-1023890soft"
8947,"0hard/-1023470soft"
8958,"0hard/-1023300soft"
8971,"0hard/-1023130soft"
8975,"0hard/-1022680soft"
9106,"0hard/-1022440soft"
9115,"0hard/-1017790soft"
9152,"0hard/-1017210soft"
9158,"0hard/-1016760soft"
9163,"0hard/-1015870soft"
9174,"0hard/-1015730soft"
9176,"0hard/-1015210soft"
9204,"0hard/-1014830soft"
9212,"0hard/-1014730soft"
9214,"0hard/-1014630soft"
9230,"0hard/-1014280soft"
9241,"0hard/-1013930soft"
9243,"0hard/-1013580soft"
9298,"0hard/-1013060soft"
9304,"0hard/-1012990soft"
9312,"0hard/-1012390soft"
9321,"0hard/-1012350soft"
9324,"0hard/-1011830soft"
9347,"0hard/-1011590soft"
9361,"0hard/-1011380soft"
9370,"0hard/-1010610soft"
9378,"0hard/-1010010soft"
9387,"0hard/-1009430soft"
9389,"0hard/-1008360soft"
9391,"0hard/-1008010soft"
9408,"0hard/-1007660soft"
9410,"0hard/-1007060soft"
9417,"0hard/-1006990soft"
9422,"0hard/-1006640soft"
9428,"0hard/-1006290soft"
9439,"0hard/-1005980soft"
9443,"0hard/-1005910soft"
9459,"0hard/-1005560soft"
9463,"0hard/-1005290soft"
9471,"0hard/-1004940soft"
9500,"0hard/-1004460soft"
9506,"0hard/-1004110soft"
9515,"0hard/-1004030soft"
9517,"0hard/-1003640soft"
9549,"0hard/-1003600soft"
9555,"0hard/-1003560soft"
9570,"0hard/-1003200soft"
9577,"0hard/-1002850soft"
9585,"0hard/-1002760soft"
9597,"0hard/-1002200soft"
9631,"0hard/-1001920soft"
9656,"0hard/-1001570soft"
9661,"0hard/-1001220soft"
9663,"0hard/-1001180soft"
9665,"0hard/-1000830soft"
9693,"0hard/-1000760soft"
9701,"0hard/-1000660soft"
9707,"0hard/-1000310soft"
9728,"0hard/-1000270soft"
9756,"0hard/-999750soft"
9760,"0hard/-999170soft"
9762,"0hard/-998820soft"
9777,"0hard/-998690soft"
9791,"0hard/-998300soft"
9796,"0hard/-997950soft"
9862,"0hard/-997390soft"
9874,"0hard/-996790soft"
9876,"0hard/-996620soft"
9883,"0hard/-996490soft"
9904,"0hard/-996180soft"
9908,"0hard/-995660soft"
9920,"0hard/-995180soft"
9933,"0hard/-994660soft"
9945,"0hard/-994620soft"
9951,"0hard/-994520soft"
9997,"0hard/-993730soft"
