"timeMillisSpent","score"
1899,"0hard/-529680soft"
1938,"0hard/-529330soft"
1949,"0hard/-528980soft"
1956,"0hard/-528500soft"
1970,"0hard/-527800soft"
1975,"0hard/-527100soft"
1986,"0hard/-526320soft"
1990,"0hard/-525970soft"
1996,"0hard/-525100soft"
2003,"0hard/-524500soft"
2018,"0hard/-524150soft"
2026,"0hard/-523800soft"
2041,"0hard/-523450soft"
2044,"0hard/-523060soft"
2053,"0hard/-522710soft"
2054,"0hard/-522360soft"
2064,"0hard/-522010soft"
2073,"0hard/-521250soft"
2075,"0hard/-520860soft"
2085,"0hard/-520510soft"
2093,"0hard/-520160soft"
2094,"0hard/-519810soft"
2099,"0hard/-518920soft"
2102,"0hard/-518570soft"
2104,"0hard/-518220soft"
2107,"0hard/-517350soft"
2110,"0hard/-517000soft"
2113,"0hard/-516340soft"
2114,"0hard/-515900soft"
2126,"0hard/-515510soft"
2129,"0hard/-514910soft"
2133,"0hard/-514560soft"
2141,"0hard/-514210soft"
2146,"0hard/-513420soft"
2164,"0hard/-513320soft"
2171,"0hard/-512640soft"
2175,"0hard/-512160soft"
2185,"0hard/-511810soft"
2189,"0hard/-510940soft"
2203,"0hard/-510550soft"
2211,"0hard/-510030soft"
2215,"0hard/-509990soft"
2223,"0hard/-509570soft"
2226,"0hard/-509220soft"
2231,"0hard/-508620soft"
2237,"0hard/-508270soft"
2242,"0hard/-507570soft"
2245,"0hard/-506970soft"
2250,"0hard/-506520soft"
2251,"0hard/-506170soft"
2274,"0hard/-506030soft"
2277,"0hard/-505250soft"
2286,"0hard/-504770soft"
2293,"0hard/-504380soft"
2314,"0hard/-504130soft"
2315,"0hard/-503740soft"
2323,"0hard/-503390soft"
2323,"0hard/-503040soft"
2342,"0hard/-502690soft"
2347,"0hard/-502340soft"
2358,"0hard/-502080soft"
2360,"0hard/-501730soft"
2379,"0hard/-501250soft"
2384,"0hard/-500860soft"
2389,"0hard/-500510soft"
2408,"0hard/-500160soft"
2418,"0hard/-500100soft"
2427,"0hard/-499880soft"
2430,"0hard/-499320soft"
2432,"0hard/-498970soft"
2435,"0hard/-498610soft"
2442,"0hard/-498510soft"
2445,"0hard/-498160soft"
2449,"0hard/-497640soft"
2464,"0hard/-497260soft"
2471,"0hard/-497220soft"
2475,"0hard/-496830soft"
2480,"0hard/-496350soft"
2484,"0hard/-496000soft"
2485,"0hard/-495520soft"
2493,"0hard/-495480soft"
2498,"0hard/-494880soft"
2500,"0hard/-494320soft"
2515,"0hard/-494290soft"
2519,"0hard/-494250soft"
2520,"0hard/-493900soft"
2526,"0hard/-493030soft"
2530,"0hard/-493010soft"
2536,"0hard/-492520soft"
2539,"0hard/-491920soft"
2545,"0hard/-491880soft"
2573,"0hard/-491660soft"
2578,"0hard/-491310soft"
2581,"0hard/-490610soft"
2582,"0hard/-490570soft"
2592,"0hard/-490180soft"
2596,"0hard/-489970soft"
2600,"0hard/-489180soft"
2604,"0hard/-488800soft"
2615,"0hard/-488410soft"
2626,"0hard/-488340soft"
2633,"0hard/-487990soft"
2636,"0hard/-487540soft"
2638,"0hard/-487060soft"
2646,"0hard/-486580soft"
2647,"0hard/-486540soft"
2679,"0hard/-486030soft"
2687,"0hard/-485940soft"
2691,"0hard/-485520soft"
2695,"0hard/-485170soft"
2703,"0hard/-484820soft"
2704,"0hard/-484470soft"
2709,"0hard/-484120soft"
2717,"0hard/-483460soft"
2727,"0hard/-483380soft"
2764,"0hard/-483350soft"
2771,"0hard/-483000soft"
2776,"0hard/-482870soft"
2778,"0hard/-482800soft"
2779,"0hard/-482760soft"
2780,"0hard/-482680soft"
2792,"0hard/-482330soft"
2834,"0hard/-482160soft"
2839,"0hard/-481810soft"
2840,"0hard/-481720soft"
2869,"0hard/-481700soft"
2870,"0hard/-481280soft"
2880,"0hard/-480890soft"
2889,"0hard/-480810soft"
2971,"0hard/-480520soft"
2988,"0hard/-480000soft"
3016,"0hard/-479700soft"
3023,"0hard/-479140soft"
3027,"0hard/-478790soft"
3039,"0hard/-478610soft"
3041,"0hard/-478510soft"
3055,"0hard/-478070soft"
3058,"0hard/-477980soft"
3070,"0hard/-477490soft"
3076,"0hard/-477110soft"
3099,"0hard/-476760soft"
3109,"0hard/-476410soft"
3113,"0hard/-476310soft"
3141,"0hard/-475960soft"
3295,"0hard/-475880soft"
3313,"0hard/-475840soft"
3319,"0hard/-475670soft"
3321,"0hard/-475360soft"
3334,"0hard/-475330soft"
3335,"0hard/-475000soft"
3395,"0hard/-474920soft"
3423,"0hard/-474630soft"
3453,"0hard/-474500soft"
3454,"0hard/-474150soft"
3506,"0hard/-473860soft"
3509,"0hard/-473470soft"
3537,"0hard/-473320soft"
3544,"0hard/-473250soft"
3559,"0hard/-473210soft"
3572,"0hard/-473000soft"
3575,"0hard/-472420soft"
3580,"0hard/-472340soft"
3594,"0hard/-472230soft"
3687,"0hard/-472060soft"
3698,"0hard/-471970soft"
3709,"0hard/-471800soft"
3711,"0hard/-471760soft"
3725,"0hard/-471720soft"
3737,"0hard/-471680soft"
3742,"0hard/-471430soft"
3758,"0hard/-471330soft"
3776,"0hard/-471190soft"
3780,"0hard/-471160soft"
3793,"0hard/-470810soft"
3814,"0hard/-470790soft"
3899,"0hard/-470760soft"
3903,"0hard/-470380soft"
3916,"0hard/-469820soft"
3981,"0hard/-469800soft"
4014,"0hard/-469760soft"
4069,"0hard/-469630soft"
4072,"0hard/-469430soft"
4074,"0hard/-469080soft"
4081,"0hard/-469070soft"
4105,"0hard/-469030soft"
4127,"0hard/-468730soft"
4130,"0hard/-468650soft"
4144,"0hard/-468250soft"
4150,"0hard/-467900soft"
4188,"0hard/-467730soft"
4191,"0hard/-467630soft"
4227,"0hard/-467390soft"
4231,"0hard/-466910soft"
4234,"0hard/-466830soft"
4278,"0hard/-466520soft"
4279,"0hard/-466170soft"
4297,"0hard/-465760soft"
4302,"0hard/-465630soft"
4308,"0hard/-465280soft"
4451,"0hard/-465080soft"
4457,"0hard/-464600soft"
4522,"0hard/-464500soft"
4525,"0hard/-464150soft"
4543,"0hard/-463670soft"
4673,"0hard/-463590soft"
4798,"0hard/-463520soft"
4805,"0hard/-463490soft"
4833,"0hard/-463410soft"
4852,"0hard/-463370soft"
4931,"0hard/-463290soft"
4940,"0hard/-462940soft"
5173,"0hard/-462680soft"
5202,"0hard/-462450soft"
5257,"0hard/-462320soft"
5277,"0hard/-461970soft"
5278,"0hard/-461930soft"
5291,"0hard/-461350soft"
5558,"0hard/-460940soft"
5566,"0hard/-460590soft"
5773,"0hard/-460420soft"
5878,"0hard/-460270soft"
5889,"0hard/-460200soft"
5976,"0hard/-460160soft"
6047,"0hard/-459900soft"
6200,"0hard/-459750soft"
6211,"0hard/-459580soft"
6219,"0hard/-459230soft"
6235,"0hard/-459120soft"
6271,"0hard/-458720soft"
6608,"0hard/-458700soft"
6610,"0hard/-458350soft"
6638,"0hard/-458000soft"
6694,"0hard/-457650soft"
6819,"0hard/-457560soft"
6881,"0hard/-457210soft"
7138,"0hard/-457190soft"
7140,"0hard/-457010soft"
7178,"0hard/-456660soft"
7240,"0hard/-456470soft"
7246,"0hard/-456430soft"
7275,"0hard/-456390soft"
7386,"0hard/-456280soft"
7391,"0hard/-456100soft"
7392,"0hard/-455440soft"
7398,"0hard/-455090soft"
7901,"0hard/-454840soft"
7916,"0hard/-454460soft"
7917,"0hard/-454360soft"
8260,"0hard/-454230soft"
8298,"0hard/-454190soft"
8443,"0hard/-454070soft"
8447,"0hard/-453980soft"
8454,"0hard/-453630soft"
8475,"0hard/-453560soft"
8523,"0hard/-453480soft"
8656,"0hard/-453300soft"
9079,"0hard/-453270soft"
9126,"0hard/-452920soft"
9137,"0hard/-452690soft"
9395,"0hard/-452530soft"
9439,"0hard/-452450soft"
9442,"0hard/-452390soft"
9453,"0hard/-452040soft"
9476,"0hard/-451960soft"
9490,"0hard/-451500soft"
9513,"0hard/-451150soft"
10197,"0hard/-451060soft"
10216,"0hard/-450710soft"
10408,"0hard/-450620soft"
10411,"0hard/-450490soft"
10415,"0hard/-450460soft"
10662,"0hard/-450120soft"
10702,"0hard/-449770soft"
10745,"0hard/-449730soft"
11196,"0hard/-449630soft"
11254,"0hard/-449550soft"
11277,"0hard/-449200soft"
11594,"0hard/-449120soft"
11824,"0hard/-448950soft"
12137,"0hard/-448730soft"
12289,"0hard/-448630soft"
12741,"0hard/-448550soft"
12863,"0hard/-448530soft"
12966,"0hard/-448450soft"
12976,"0hard/-448350soft"
13454,"0hard/-448270soft"
13462,"0hard/-448150soft"
13764,"0hard/-448130soft"
13771,"0hard/-447800soft"
14046,"0hard/-447760soft"
14108,"0hard/-447690soft"
14382,"0hard/-447670soft"
14423,"0hard/-447320soft"
15162,"0hard/-447240soft"
15281,"0hard/-446890soft"
15285,"0hard/-446820soft"
15295,"0hard/-446470soft"
15353,"0hard/-446310soft"
15612,"0hard/-446240soft"
16446,"0hard/-445990soft"
17041,"0hard/-445880soft"
17352,"0hard/-445840soft"
17485,"0hard/-445760soft"
17603,"0hard/-445620soft"
17880,"0hard/-445510soft"
18263,"0hard/-445440soft"
18276,"0hard/-445380soft"
18305,"0hard/-445280soft"
18428,"0hard/-445240soft"
18523,"0hard/-445140soft"
18944,"0hard/-444960soft"
19039,"0hard/-444770soft"
19071,"0hard/-444690soft"
19098,"0hard/-444650soft"
19429,"0hard/-444600soft"
19457,"0hard/-444520soft"
19474,"0hard/-444460soft"
19598,"0hard/-444420soft"
19658,"0hard/-444070soft"
19886,"0hard/-443980soft"
20798,"0hard/-443900soft"
20890,"0hard/-443550soft"
21258,"0hard/-443440soft"
21402,"0hard/-443150soft"
21407,"0hard/-443070soft"
22204,"0hard/-443030soft"
22403,"0hard/-442820soft"
22908,"0hard/-442770soft"
22911,"0hard/-442690soft"
23290,"0hard/-442440soft"
23456,"0hard/-442360soft"
23590,"0hard/-442180soft"
23895,"0hard/-442060soft"
24101,"0hard/-442020soft"
24710,"0hard/-441820soft"
26790,"0hard/-441780soft"
26805,"0hard/-441750soft"
26820,"0hard/-441610soft"
27458,"0hard/-441600soft"
27488,"0hard/-441500soft"
27519,"0hard/-441420soft"
28019,"0hard/-441320soft"
28029,"0hard/-441240soft"
28198,"0hard/-441030soft"
28465,"0hard/-440860soft"
28831,"0hard/-440830soft"
28878,"0hard/-440730soft"
29261,"0hard/-440380soft"
29262,"0hard/-440260soft"
30483,"0hard/-439910soft"
31520,"0hard/-439810soft"
32053,"0hard/-439800soft"
32144,"0hard/-439450soft"
32165,"0hard/-439410soft"
33047,"0hard/-439370soft"
33238,"0hard/-439020soft"
35194,"0hard/-439000soft"
36033,"0hard/-438880soft"
36107,"0hard/-438860soft"
36313,"0hard/-438790soft"
37420,"0hard/-438620soft"
37508,"0hard/-438520soft"
38715,"0hard/-438240soft"
39365,"0hard/-438200soft"
40561,"0hard/-437850soft"
40897,"0hard/-437790soft"
42434,"0hard/-437600soft"
42544,"0hard/-437250soft"
44044,"0hard/-437210soft"
44493,"0hard/-437040soft"
44716,"0hard/-437000soft"
45003,"0hard/-436920soft"
45093,"0hard/-436570soft"
