"timeMillisSpent","score"
7581,"0hard/-1065950soft"
7655,"0hard/-1065330soft"
7820,"0hard/-1064710soft"
7887,"0hard/-1064290soft"
7952,"0hard/-1063770soft"
8035,"0hard/-1063090soft"
8118,"0hard/-1062610soft"
8176,"0hard/-1062260soft"
8193,"0hard/-1061740soft"
8209,"0hard/-1061260soft"
8289,"0hard/-1060840soft"
8305,"0hard/-1060460soft"
8354,"0hard/-1060360soft"
8372,"0hard/-1059490soft"
8404,"0hard/-1059140soft"
8421,"0hard/-1058720soft"
8453,"0hard/-1058340soft"
8486,"0hard/-1058280soft"
8535,"0hard/-1057800soft"
8650,"0hard/-1056910soft"
8667,"0hard/-1056410soft"
8682,"0hard/-1056020soft"
8700,"0hard/-1055960soft"
8716,"0hard/-1055360soft"
8732,"0hard/-1054580soft"
8749,"0hard/-1054090soft"
8846,"0hard/-1053570soft"
8863,"0hard/-1053550soft"
8880,"0hard/-1052790soft"
8912,"0hard/-1052440soft"
8929,"0hard/-1052090soft"
8945,"0hard/-1051530soft"
8985,"0hard/-1051140soft"
9017,"0hard/-1051040soft"
9050,"0hard/-1050550soft"
9066,"0hard/-1050170soft"
9084,"0hard/-1049650soft"
9117,"0hard/-1049130soft"
9165,"0hard/-1048780soft"
9182,"0hard/-1048300soft"
9268,"0hard/-1048240soft"
9285,"0hard/-1047720soft"
9334,"0hard/-1046850soft"
9351,"0hard/-1046500soft"
9368,"0hard/-1045980soft"
9384,"0hard/-1045380soft"
9416,"0hard/-1045030soft"
9545,"0hard/-1044610soft"
9594,"0hard/-1044260soft"
9645,"0hard/-1043560soft"
9680,"0hard/-1043170soft"
9697,"0hard/-1042650soft"
9714,"0hard/-1042300soft"
9731,"0hard/-1041950soft"
9749,"0hard/-1041520soft"
9804,"0hard/-1040970soft"
9887,"0hard/-1040950soft"
9920,"0hard/-1040350soft"
9937,"0hard/-1040310soft"
10136,"0hard/-1039830soft"
10153,"0hard/-1039410soft"
10171,"0hard/-1039310soft"
10203,"0hard/-1038530soft"
10238,"0hard/-1038180soft"
10287,"0hard/-1037830soft"
