"timeMillisSpent","score"
10232,"0hard/-983310soft"
10259,"0hard/-983220soft"
10270,"0hard/-982770soft"
10293,"0hard/-982420soft"
10315,"0hard/-982070soft"
10348,"0hard/-981690soft"
10372,"0hard/-981270soft"
10399,"0hard/-980750soft"
10434,"0hard/-980400soft"
10462,"0hard/-980200soft"
10503,"0hard/-980160soft"
10543,"0hard/-979290soft"
10594,"0hard/-978910soft"
10612,"0hard/-978870soft"
10616,"0hard/-978800soft"
10625,"0hard/-978770soft"
10633,"0hard/-978420soft"
10647,"0hard/-978030soft"
10714,"0hard/-977610soft"
10722,"0hard/-977260soft"
10724,"0hard/-977180soft"
10740,"0hard/-976790soft"
10744,"0hard/-976590soft"
10752,"0hard/-976320soft"
10763,"0hard/-975840soft"
10769,"0hard/-975740soft"
10782,"0hard/-975350soft"
10796,"0hard/-975330soft"
10852,"0hard/-974980soft"
10855,"0hard/-974910soft"
10945,"0hard/-974560soft"
11019,"0hard/-974520soft"
11036,"0hard/-974390soft"
11057,"0hard/-974040soft"
11121,"0hard/-973400soft"
11154,"0hard/-973320soft"
11177,"0hard/-972900soft"
11180,"0hard/-972860soft"
11225,"0hard/-972510soft"
11247,"0hard/-972160soft"
11351,"0hard/-972120soft"
11402,"0hard/-972090soft"
11453,"0hard/-971740soft"
11498,"0hard/-971430soft"
11552,"0hard/-971290soft"
11557,"0hard/-970940soft"
11579,"0hard/-970590soft"
11619,"0hard/-970030soft"
11658,"0hard/-969680soft"
11673,"0hard/-969640soft"
11698,"0hard/-969290soft"
11700,"0hard/-969110soft"
11725,"0hard/-969010soft"
11743,"0hard/-968330soft"
11761,"0hard/-968290soft"
11858,"0hard/-967940soft"
11861,"0hard/-967590soft"
11894,"0hard/-967550soft"
11940,"0hard/-967470soft"
12035,"0hard/-967430soft"
12055,"0hard/-966870soft"
12200,"0hard/-966520soft"
12202,"0hard/-966040soft"
12256,"0hard/-965770soft"
12290,"0hard/-965290soft"
12337,"0hard/-965250soft"
12345,"0hard/-964990soft"
12353,"0hard/-964610soft"
12437,"0hard/-964590soft"
12514,"0hard/-964490soft"
12599,"0hard/-964140soft"
12661,"0hard/-964020soft"
12687,"0hard/-963980soft"
12715,"0hard/-963460soft"
12776,"0hard/-963070soft"
12852,"0hard/-963030soft"
12883,"0hard/-962580soft"
12890,"0hard/-962480soft"
12920,"0hard/-962450soft"
12964,"0hard/-962420soft"
12975,"0hard/-962220soft"
12998,"0hard/-962180soft"
13017,"0hard/-962080soft"
13036,"0hard/-962000soft"
13044,"0hard/-961860soft"
13071,"0hard/-961780soft"
13120,"0hard/-961400soft"
13123,"0hard/-961330soft"
13130,"0hard/-961260soft"
13192,"0hard/-961230soft"
13238,"0hard/-960610soft"
13249,"0hard/-960540soft"
13284,"0hard/-960500soft"
13289,"0hard/-960080soft"
13296,"0hard/-959560soft"
13299,"0hard/-959140soft"
13338,"0hard/-958870soft"
13341,"0hard/-958520soft"
13430,"0hard/-958460soft"
13438,"0hard/-958380soft"
13457,"0hard/-957950soft"
13500,"0hard/-957600soft"
13513,"0hard/-957390soft"
13533,"0hard/-957370soft"
13637,"0hard/-957350soft"
13778,"0hard/-957240soft"
13858,"0hard/-957150soft"
13861,"0hard/-957070soft"
13916,"0hard/-956720soft"
13990,"0hard/-956020soft"
13998,"0hard/-955650soft"
14030,"0hard/-955380soft"
14081,"0hard/-954930soft"
14134,"0hard/-954830soft"
14177,"0hard/-954700soft"
14188,"0hard/-954660soft"
14223,"0hard/-954580soft"
14229,"0hard/-954230soft"
