"timeMillisSpent","score"
624,"0hard/-132440soft"
633,"0hard/-132020soft"
659,"0hard/-131670soft"
663,"0hard/-131070soft"
671,"0hard/-130720soft"
673,"0hard/-130370soft"
700,"0hard/-129750soft"
703,"0hard/-129400soft"
712,"0hard/-129050soft"
746,"0hard/-128700soft"
748,"0hard/-128350soft"
765,"0hard/-127790soft"
776,"0hard/-127440soft"
781,"0hard/-127230soft"
791,"0hard/-126780soft"
793,"0hard/-126430soft"
796,"0hard/-125810soft"
806,"0hard/-125460soft"
815,"0hard/-125400soft"
817,"0hard/-125050soft"
825,"0hard/-124390soft"
829,"0hard/-124040soft"
867,"0hard/-123690soft"
903,"0hard/-123240soft"
918,"0hard/-123130soft"
957,"0hard/-122740soft"
965,"0hard/-122640soft"
977,"0hard/-122290soft"
1027,"0hard/-121900soft"
1041,"0hard/-121550soft"
1043,"0hard/-120950soft"
1048,"0hard/-120310soft"
1049,"0hard/-119960soft"
1052,"0hard/-119630soft"
1135,"0hard/-119140soft"
1189,"0hard/-119020soft"
1216,"0hard/-118850soft"
1221,"0hard/-118780soft"
1241,"0hard/-118510soft"
1242,"0hard/-118160soft"
1275,"0hard/-118030soft"
1320,"0hard/-117990soft"
1337,"0hard/-117950soft"
1377,"0hard/-117500soft"
1391,"0hard/-117400soft"
1409,"0hard/-116980soft"
1552,"0hard/-116760soft"
1608,"0hard/-116580soft"
1620,"0hard/-116470soft"
1709,"0hard/-116370soft"
1709,"0hard/-116020soft"
1763,"0hard/-115670soft"
1942,"0hard/-115640soft"
1967,"0hard/-115540soft"
1990,"0hard/-115460soft"
1996,"0hard/-115430soft"
2210,"0hard/-115390soft"
2220,"0hard/-115330soft"
2382,"0hard/-115140soft"
2385,"0hard/-115100soft"
2407,"0hard/-114960soft"
2469,"0hard/-114610soft"
2566,"0hard/-114540soft"
2668,"0hard/-114460soft"
2934,"0hard/-114360soft"
2978,"0hard/-114320soft"
3017,"0hard/-114290soft"
3027,"0hard/-114190soft"
3031,"0hard/-114150soft"
3060,"0hard/-114050soft"
3201,"0hard/-113700soft"
3256,"0hard/-113570soft"
3375,"0hard/-113400soft"
3802,"0hard/-113380soft"
4043,"0hard/-113230soft"
4295,"0hard/-113130soft"
4514,"0hard/-112780soft"
4555,"0hard/-112770soft"
7161,"0hard/-112580soft"
7511,"0hard/-112540soft"
7533,"0hard/-112530soft"
7612,"0hard/-112350soft"
10278,"0hard/-112090soft"
17267,"0hard/-112020soft"
19270,"0hard/-111830soft"
19474,"0hard/-111760soft"
20676,"0hard/-111630soft"
22270,"0hard/-111280soft"
26655,"0hard/-111180soft"
38384,"0hard/-111010soft"
39530,"0hard/-110910soft"
39586,"0hard/-110870soft"
58710,"0hard/-110860soft"
68407,"0hard/-110840soft"
68505,"0hard/-110800soft"
69655,"0hard/-110730soft"
75954,"0hard/-110720soft"
77211,"0hard/-110690soft"
155777,"0hard/-110680soft"
251632,"0hard/-110550soft"
