"timeMillisSpent","score"
34924,"0hard/-2106500soft"
34974,"0hard/-2106050soft"
35012,"0hard/-2105270soft"
35104,"0hard/-2104920soft"
35152,"0hard/-2104530soft"
35239,"0hard/-2104500soft"
35259,"0hard/-2104150soft"
35382,"0hard/-2103670soft"
35401,"0hard/-2103220soft"
35457,"0hard/-2102660soft"
35493,"0hard/-2102310soft"
35512,"0hard/-2102220soft"
35567,"0hard/-2102150soft"
35639,"0hard/-2101630soft"
35727,"0hard/-2101530soft"
35802,"0hard/-2100640soft"
35841,"0hard/-2100250soft"
35899,"0hard/-2099280soft"
35953,"0hard/-2098890soft"
35973,"0hard/-2098540soft"
35992,"0hard/-2098190soft"
36134,"0hard/-2097740soft"
36154,"0hard/-2096850soft"
36173,"0hard/-2096500soft"
36192,"0hard/-2095980soft"
36264,"0hard/-2095630soft"
36320,"0hard/-2095110soft"
36376,"0hard/-2094530soft"
36454,"0hard/-2094050soft"
36525,"0hard/-2093530soft"
36544,"0hard/-2093180soft"
36581,"0hard/-2092660soft"
36651,"0hard/-2092310soft"
36688,"0hard/-2091860soft"
36970,"0hard/-2091510soft"
37044,"0hard/-2090850soft"
37063,"0hard/-2090750soft"
37137,"0hard/-2090230soft"
37211,"0hard/-2089840soft"
37284,"0hard/-2089490soft"
37322,"0hard/-2088830soft"
37343,"0hard/-2088310soft"
37464,"0hard/-2087790soft"
37484,"0hard/-2087760soft"
37504,"0hard/-2087410soft"
37524,"0hard/-2087060soft"
37666,"0hard/-2087030soft"
37684,"0hard/-2086510soft"
37706,"0hard/-2086090soft"
37744,"0hard/-2085740soft"
37817,"0hard/-2085350soft"
37837,"0hard/-2085000soft"
37892,"0hard/-2084480soft"
37931,"0hard/-2083880soft"
37986,"0hard/-2083530soft"
38005,"0hard/-2083140soft"
38059,"0hard/-2083080soft"
38230,"0hard/-2082210soft"
38267,"0hard/-2081860soft"
38323,"0hard/-2081510soft"
38359,"0hard/-2081130soft"
38415,"0hard/-2080650soft"
38434,"0hard/-2080300soft"
38454,"0hard/-2079820soft"
38545,"0hard/-2079470soft"
38581,"0hard/-2079050soft"
38617,"0hard/-2079010soft"
38654,"0hard/-2078660soft"
38709,"0hard/-2078310soft"
38729,"0hard/-2077920soft"
38838,"0hard/-2077570soft"
38875,"0hard/-2077220soft"
38942,"0hard/-2076660soft"
39049,"0hard/-2075880soft"
39087,"0hard/-2075530soft"
39161,"0hard/-2074930soft"
39180,"0hard/-2074480soft"
39218,"0hard/-2074090soft"
39238,"0hard/-2073990soft"
39257,"0hard/-2073390soft"
39277,"0hard/-2073330soft"
39296,"0hard/-2072980soft"
39316,"0hard/-2072490soft"
39502,"0hard/-2072390soft"
39521,"0hard/-2072330soft"
39577,"0hard/-2072290soft"
39597,"0hard/-2071870soft"
39616,"0hard/-2071740soft"
39635,"0hard/-2071390soft"
39691,"0hard/-2071010soft"
39789,"0hard/-2070630soft"
39809,"0hard/-2070590soft"
39847,"0hard/-2070240soft"
39884,"0hard/-2069780soft"
39939,"0hard/-2069750soft"
39994,"0hard/-2069200soft"
40048,"0hard/-2068850soft"
40103,"0hard/-2068820soft"
40122,"0hard/-2068430soft"
40142,"0hard/-2068360soft"
40250,"0hard/-2068010soft"
40269,"0hard/-2067350soft"
40288,"0hard/-2066970soft"
40306,"0hard/-2066580soft"
40363,"0hard/-2066230soft"
40458,"0hard/-2066200soft"
40510,"0hard/-2065650soft"
40638,"0hard/-2065230soft"
40693,"0hard/-2064840soft"
40730,"0hard/-2064490soft"
40750,"0hard/-2064070soft"
40787,"0hard/-2064040soft"
40970,"0hard/-2064000soft"
41045,"0hard/-2063480soft"
41103,"0hard/-2063060soft"
41141,"0hard/-2062710soft"
41236,"0hard/-2062330soft"
41256,"0hard/-2062200soft"
41286,"0hard/-2061850soft"
41323,"0hard/-2061750soft"
41381,"0hard/-2061270soft"
41420,"0hard/-2060920soft"
41511,"0hard/-2060500soft"
41532,"0hard/-2060010soft"
41551,"0hard/-2059530soft"
41571,"0hard/-2058910soft"
