"timeMillisSpent","score"
594,"0hard/-244360soft"
609,"0hard/-244010soft"
615,"0hard/-243260soft"
628,"0hard/-242390soft"
646,"0hard/-242350soft"
651,"0hard/-241150soft"
656,"0hard/-240730soft"
660,"0hard/-240010soft"
661,"0hard/-239370soft"
670,"0hard/-238850soft"
672,"0hard/-238500soft"
675,"0hard/-238150soft"
678,"0hard/-237760soft"
685,"0hard/-237410soft"
688,"0hard/-236810soft"
693,"0hard/-236460soft"
695,"0hard/-236160soft"
695,"0hard/-236030soft"
708,"0hard/-235680soft"
709,"0hard/-235160soft"
712,"0hard/-235090soft"
715,"0hard/-234740soft"
721,"0hard/-234120soft"
724,"0hard/-233770soft"
728,"0hard/-233380soft"
729,"0hard/-232310soft"
738,"0hard/-232180soft"
741,"0hard/-231390soft"
746,"0hard/-231040soft"
747,"0hard/-230690soft"
757,"0hard/-230520soft"
769,"0hard/-230170soft"
775,"0hard/-229720soft"
777,"0hard/-229370soft"
791,"0hard/-229290soft"
798,"0hard/-228940soft"
806,"0hard/-228590soft"
808,"0hard/-228240soft"
815,"0hard/-227640soft"
817,"0hard/-227600soft"
825,"0hard/-226980soft"
826,"0hard/-226630soft"
827,"0hard/-226070soft"
833,"0hard/-226030soft"
840,"0hard/-225550soft"
842,"0hard/-225200soft"
849,"0hard/-224960soft"
872,"0hard/-224400soft"
878,"0hard/-224050soft"
904,"0hard/-223700soft"
905,"0hard/-223500soft"
907,"0hard/-223490soft"
922,"0hard/-223140soft"
922,"0hard/-222870soft"
928,"0hard/-222830soft"
935,"0hard/-222790soft"
944,"0hard/-222410soft"
957,"0hard/-221930soft"
997,"0hard/-221480soft"
1007,"0hard/-221380soft"
1024,"0hard/-221370soft"
1029,"0hard/-220890soft"
1056,"0hard/-220500soft"
1065,"0hard/-219880soft"
1073,"0hard/-219530soft"
1073,"0hard/-219180soft"
1086,"0hard/-218620soft"
1088,"0hard/-218500soft"
1100,"0hard/-218350soft"
1101,"0hard/-218270soft"
1114,"0hard/-217920soft"
1127,"0hard/-217430soft"
1128,"0hard/-217010soft"
1140,"0hard/-216970soft"
1145,"0hard/-216520soft"
1158,"0hard/-216350soft"
1169,"0hard/-215380soft"
1191,"0hard/-215340soft"
1196,"0hard/-215320soft"
1198,"0hard/-214350soft"
1201,"0hard/-214280soft"
1218,"0hard/-214150soft"
1235,"0hard/-213980soft"
1239,"0hard/-213530soft"
1247,"0hard/-213180soft"
1289,"0hard/-213010soft"
1312,"0hard/-212410soft"
1334,"0hard/-212310soft"
1336,"0hard/-212140soft"
1390,"0hard/-212060soft"
1412,"0hard/-212020soft"
1424,"0hard/-211940soft"
1467,"0hard/-211860soft"
1470,"0hard/-211510soft"
1539,"0hard/-211160soft"
1568,"0hard/-211120soft"
1589,"0hard/-211020soft"
1622,"0hard/-210980soft"
1696,"0hard/-210880soft"
1734,"0hard/-210530soft"
1747,"0hard/-210400soft"
