"timeMillisSpent","score"
1974,"0hard/-529680soft"
1998,"0hard/-529060soft"
2001,"0hard/-528710soft"
2017,"0hard/-526910soft"
2028,"0hard/-526490soft"
2032,"0hard/-525970soft"
2039,"0hard/-525620soft"
2051,"0hard/-524830soft"
2067,"0hard/-523980soft"
2070,"0hard/-523380soft"
2084,"0hard/-523030soft"
2089,"0hard/-522680soft"
2091,"0hard/-522020soft"
2093,"0hard/-521920soft"
2095,"0hard/-520320soft"
2122,"0hard/-519620soft"
2132,"0hard/-519270soft"
2133,"0hard/-518880soft"
2136,"0hard/-518460soft"
2138,"0hard/-518110soft"
2147,"0hard/-517240soft"
2148,"0hard/-516890soft"
2150,"0hard/-516540soft"
2152,"0hard/-516500soft"
2153,"0hard/-516150soft"
2165,"0hard/-516110soft"
2167,"0hard/-515510soft"
2170,"0hard/-515160soft"
2172,"0hard/-514810soft"
2175,"0hard/-514460soft"
2177,"0hard/-514070soft"
2178,"0hard/-513150soft"
2187,"0hard/-512670soft"
2197,"0hard/-512190soft"
2211,"0hard/-511840soft"
2215,"0hard/-511490soft"
2224,"0hard/-510970soft"
2225,"0hard/-510620soft"
2228,"0hard/-510450soft"
2235,"0hard/-508550soft"
2238,"0hard/-508200soft"
2247,"0hard/-507420soft"
2260,"0hard/-507000soft"
2263,"0hard/-506610soft"
2273,"0hard/-506260soft"
2276,"0hard/-506230soft"
2280,"0hard/-505880soft"
2283,"0hard/-505530soft"
2291,"0hard/-505140soft"
2306,"0hard/-504750soft"
2311,"0hard/-504360soft"
2321,"0hard/-503660soft"
2323,"0hard/-502790soft"
2326,"0hard/-501290soft"
2363,"0hard/-501250soft"
2365,"0hard/-501040soft"
2366,"0hard/-500340soft"
2383,"0hard/-499960soft"
2385,"0hard/-499610soft"
2391,"0hard/-499260soft"
2395,"0hard/-498910soft"
2410,"0hard/-498740soft"
2412,"0hard/-498390soft"
2418,"0hard/-498040soft"
2435,"0hard/-498000soft"
2452,"0hard/-497650soft"
2455,"0hard/-497130soft"
2459,"0hard/-496680soft"
2467,"0hard/-496290soft"
2486,"0hard/-495940soft"
2488,"0hard/-495590soft"
2497,"0hard/-494720soft"
2504,"0hard/-494040soft"
2512,"0hard/-493690soft"
2519,"0hard/-493340soft"
2523,"0hard/-492990soft"
2532,"0hard/-492510soft"
2541,"0hard/-492160soft"
2542,"0hard/-492080soft"
2544,"0hard/-491190soft"
2549,"0hard/-491110soft"
2559,"0hard/-490760soft"
2565,"0hard/-490210soft"
2568,"0hard/-489860soft"
2573,"0hard/-489510soft"
2579,"0hard/-489370soft"
2582,"0hard/-489300soft"
2594,"0hard/-489260soft"
2602,"0hard/-489090soft"
2614,"0hard/-488740soft"
2621,"0hard/-488220soft"
2626,"0hard/-487440soft"
2647,"0hard/-487090soft"
2666,"0hard/-486740soft"
2694,"0hard/-486700soft"
2709,"0hard/-485910soft"
2748,"0hard/-485040soft"
2781,"0hard/-484620soft"
2782,"0hard/-484270soft"
2792,"0hard/-483810soft"
2796,"0hard/-483360soft"
2816,"0hard/-483010soft"
2843,"0hard/-482310soft"
2847,"0hard/-481960soft"
2873,"0hard/-481870soft"
2902,"0hard/-481520soft"
2905,"0hard/-481480soft"
2923,"0hard/-481000soft"
2947,"0hard/-480510soft"
2964,"0hard/-480160soft"
2969,"0hard/-479930soft"
2976,"0hard/-479860soft"
2978,"0hard/-479820soft"
2980,"0hard/-479220soft"
2981,"0hard/-479180soft"
2982,"0hard/-479140soft"
3002,"0hard/-478580soft"
3013,"0hard/-478500soft"
3014,"0hard/-478110soft"
3021,"0hard/-477760soft"
3029,"0hard/-477720soft"
3046,"0hard/-477530soft"
3074,"0hard/-476890soft"
3083,"0hard/-476270soft"
3145,"0hard/-475710soft"
3210,"0hard/-475580soft"
3232,"0hard/-475230soft"
3241,"0hard/-475150soft"
3243,"0hard/-474800soft"
3269,"0hard/-474420soft"
3282,"0hard/-473970soft"
3298,"0hard/-473620soft"
3304,"0hard/-473580soft"
3308,"0hard/-473420soft"
3322,"0hard/-473070soft"
3428,"0hard/-472970soft"
3433,"0hard/-472890soft"
3454,"0hard/-472690soft"
3476,"0hard/-472620soft"
3482,"0hard/-472610soft"
3531,"0hard/-472510soft"
3566,"0hard/-472130soft"
3625,"0hard/-471780soft"
3635,"0hard/-471290soft"
3639,"0hard/-470870soft"
3650,"0hard/-470520soft"
3652,"0hard/-470170soft"
3682,"0hard/-469690soft"
3699,"0hard/-469650soft"
3705,"0hard/-469530soft"
3757,"0hard/-469310soft"
3789,"0hard/-469210soft"
3814,"0hard/-468760soft"
3845,"0hard/-468530soft"
3861,"0hard/-468490soft"
3906,"0hard/-468010soft"
3931,"0hard/-467660soft"
3986,"0hard/-467580soft"
3999,"0hard/-467480soft"
4006,"0hard/-467450soft"
4009,"0hard/-467320soft"
4018,"0hard/-466720soft"
4041,"0hard/-466640soft"
4047,"0hard/-466380soft"
4055,"0hard/-466250soft"
4072,"0hard/-466220soft"
4085,"0hard/-465870soft"
4122,"0hard/-465520soft"
4137,"0hard/-465040soft"
4181,"0hard/-464690soft"
4182,"0hard/-464650soft"
4210,"0hard/-464560soft"
4246,"0hard/-464210soft"
4305,"0hard/-463860soft"
4340,"0hard/-463780soft"
4349,"0hard/-463740soft"
4370,"0hard/-463390soft"
4502,"0hard/-463040soft"
