"timeMillisSpent","score"
617,"0hard/-132440soft"
722,"0hard/-131720soft"
798,"0hard/-130750soft"
982,"0hard/-130150soft"
1022,"0hard/-129800soft"
1142,"0hard/-129450soft"
1228,"0hard/-129100soft"
1400,"0hard/-128900soft"
1603,"0hard/-128550soft"
1659,"0hard/-128200soft"
1876,"0hard/-127850soft"
1961,"0hard/-127170soft"
1994,"0hard/-126820soft"
2010,"0hard/-126260soft"
2026,"0hard/-125910soft"
2072,"0hard/-125560soft"
2148,"0hard/-125430soft"
2171,"0hard/-125370soft"
2357,"0hard/-125300soft"
2376,"0hard/-125260soft"
2403,"0hard/-125220soft"
2500,"0hard/-125160soft"
2563,"0hard/-124710soft"
2658,"0hard/-123740soft"
2868,"0hard/-123700soft"
2963,"0hard/-123350soft"
3052,"0hard/-123310soft"
3396,"0hard/-122960soft"
3458,"0hard/-122920soft"
3491,"0hard/-122810soft"
3523,"0hard/-122460soft"
3676,"0hard/-122040soft"
3728,"0hard/-121970soft"
3899,"0hard/-121370soft"
3988,"0hard/-121020soft"
4022,"0hard/-120540soft"
4077,"0hard/-120190soft"
4344,"0hard/-120150soft"
4979,"0hard/-119530soft"
5116,"0hard/-118970soft"
5228,"0hard/-118930soft"
5906,"0hard/-118850soft"
5939,"0hard/-118660soft"
6078,"0hard/-118270soft"
6244,"0hard/-118190soft"
6864,"0hard/-117840soft"
7311,"0hard/-117740soft"
7977,"0hard/-117640soft"
8247,"0hard/-117540soft"
8625,"0hard/-117190soft"
9274,"0hard/-116740soft"
9439,"0hard/-116700soft"
9508,"0hard/-116500soft"
9827,"0hard/-116470soft"
10478,"0hard/-116430soft"
10973,"0hard/-116390soft"
11689,"0hard/-116290soft"
11819,"0hard/-116150soft"
11836,"0hard/-116120soft"
12907,"0hard/-115990soft"
13203,"0hard/-115960soft"
13309,"0hard/-115610soft"
13327,"0hard/-115510soft"
13943,"0hard/-115140soft"
13992,"0hard/-115100soft"
14120,"0hard/-114540soft"
14507,"0hard/-114480soft"
14889,"0hard/-114350soft"
15671,"0hard/-114310soft"
15791,"0hard/-114190soft"
16365,"0hard/-114150soft"
17127,"0hard/-114050soft"
19568,"0hard/-114010soft"
19975,"0hard/-113740soft"
20764,"0hard/-113730soft"
21086,"0hard/-113690soft"
23180,"0hard/-113560soft"
23979,"0hard/-113460soft"
25440,"0hard/-113360soft"
25566,"0hard/-113280soft"
27011,"0hard/-113250soft"
28833,"0hard/-113110soft"
29082,"0hard/-112940soft"
29100,"0hard/-112900soft"
30854,"0hard/-112550soft"
32336,"0hard/-112450soft"
34151,"0hard/-112420soft"
38786,"0hard/-112070soft"
39132,"0hard/-111940soft"
52897,"0hard/-111800soft"
53812,"0hard/-111770soft"
57021,"0hard/-111640soft"
71628,"0hard/-111630soft"
72174,"0hard/-111600soft"
92585,"0hard/-111570soft"
93133,"0hard/-111220soft"
210515,"0hard/-111090soft"
