"timeMillisSpent","score"
34482,"0hard/-2106500soft"
34563,"0hard/-2105980soft"
34629,"0hard/-2105630soft"
34674,"0hard/-2105110soft"
34678,"0hard/-2104720soft"
34694,"0hard/-2104370soft"
34701,"0hard/-2103810soft"
34754,"0hard/-2103460soft"
34770,"0hard/-2103110soft"
34794,"0hard/-2102590soft"
34834,"0hard/-2102170soft"
34851,"0hard/-2101820soft"
34856,"0hard/-2101430soft"
34874,"0hard/-2100790soft"
34891,"0hard/-2100300soft"
34898,"0hard/-2099700soft"
35054,"0hard/-2099250soft"
35095,"0hard/-2098870soft"
35098,"0hard/-2098420soft"
35102,"0hard/-2098070soft"
35111,"0hard/-2097690soft"
35163,"0hard/-2097070soft"
35177,"0hard/-2096200soft"
35220,"0hard/-2095680soft"
35273,"0hard/-2094880soft"
35312,"0hard/-2094010soft"
35320,"0hard/-2093620soft"
35327,"0hard/-2093100soft"
35349,"0hard/-2092310soft"
35354,"0hard/-2091960soft"
35368,"0hard/-2091300soft"
35382,"0hard/-2090920soft"
35390,"0hard/-2090430soft"
35394,"0hard/-2089950soft"
35405,"0hard/-2089350soft"
35425,"0hard/-2089320soft"
35448,"0hard/-2088930soft"
35469,"0hard/-2088170soft"
35473,"0hard/-2087780soft"
35477,"0hard/-2087430soft"
35491,"0hard/-2087080soft"
35506,"0hard/-2086690soft"
35512,"0hard/-2086170soft"
35521,"0hard/-2085550soft"
35530,"0hard/-2085200soft"
35540,"0hard/-2084850soft"
35550,"0hard/-2084500soft"
35562,"0hard/-2084080soft"
35582,"0hard/-2083730soft"
35599,"0hard/-2083250soft"
35627,"0hard/-2082730soft"
35632,"0hard/-2082170soft"
35640,"0hard/-2081740soft"
35660,"0hard/-2081390soft"
35664,"0hard/-2080870soft"
35680,"0hard/-2080480soft"
35715,"0hard/-2079920soft"
35741,"0hard/-2079500soft"
35750,"0hard/-2079370soft"
35761,"0hard/-2078850soft"
35777,"0hard/-2078050soft"
35782,"0hard/-2077660soft"
35802,"0hard/-2076880soft"
35811,"0hard/-2076600soft"
35825,"0hard/-2076250soft"
35840,"0hard/-2076210soft"
35844,"0hard/-2075860soft"
35870,"0hard/-2075310soft"
35916,"0hard/-2074960soft"
35932,"0hard/-2074540soft"
35944,"0hard/-2074190soft"
35947,"0hard/-2073840soft"
35963,"0hard/-2073450soft"
35973,"0hard/-2072930soft"
35976,"0hard/-2072250soft"
35980,"0hard/-2072180soft"
36010,"0hard/-2071790soft"
36024,"0hard/-2071440soft"
36048,"0hard/-2071090soft"
36064,"0hard/-2070740soft"
36083,"0hard/-2070360soft"
36086,"0hard/-2069940soft"
36131,"0hard/-2069590soft"
36135,"0hard/-2069240soft"
36138,"0hard/-2068850soft"
36151,"0hard/-2068370soft"
36166,"0hard/-2067710soft"
36192,"0hard/-2067150soft"
36197,"0hard/-2066770soft"
