"timeMillisSpent","score"
625,"0hard/-244360soft"
729,"0hard/-243570soft"
746,"0hard/-242870soft"
764,"0hard/-242270soft"
788,"0hard/-241670soft"
879,"0hard/-241190soft"
928,"0hard/-240840soft"
1022,"0hard/-240450soft"
1058,"0hard/-240100soft"
1075,"0hard/-240000soft"
1211,"0hard/-239300soft"
1228,"0hard/-238510soft"
1243,"0hard/-238410soft"
1259,"0hard/-238060soft"
1292,"0hard/-237190soft"
1339,"0hard/-236670soft"
1414,"0hard/-235800soft"
1455,"0hard/-235700soft"
1511,"0hard/-234830soft"
1562,"0hard/-234110soft"
1578,"0hard/-233760soft"
1641,"0hard/-233200soft"
1658,"0hard/-232810soft"
1674,"0hard/-232460soft"
1727,"0hard/-232110soft"
1783,"0hard/-231760soft"
1869,"0hard/-231410soft"
1901,"0hard/-231310soft"
1916,"0hard/-230860soft"
1949,"0hard/-230480soft"
1968,"0hard/-230380soft"
2017,"0hard/-229930soft"
2043,"0hard/-229580soft"
2145,"0hard/-229130soft"
2266,"0hard/-228780soft"
2336,"0hard/-228430soft"
2369,"0hard/-228080soft"
2419,"0hard/-227560soft"
2521,"0hard/-226810soft"
2544,"0hard/-225940soft"
2560,"0hard/-225590soft"
2665,"0hard/-225390soft"
2683,"0hard/-224790soft"
2735,"0hard/-224260soft"
2861,"0hard/-224220soft"
2915,"0hard/-224090soft"
2954,"0hard/-223990soft"
3004,"0hard/-223920soft"
3023,"0hard/-223780soft"
3085,"0hard/-223260soft"
3104,"0hard/-222910soft"
3119,"0hard/-222900soft"
3218,"0hard/-222770soft"
3305,"0hard/-222420soft"
3324,"0hard/-222070soft"
3343,"0hard/-221940soft"
3378,"0hard/-221550soft"
3394,"0hard/-221390soft"
3429,"0hard/-221300soft"
3500,"0hard/-221200soft"
3608,"0hard/-221000soft"
3672,"0hard/-220970soft"
3831,"0hard/-220410soft"
3849,"0hard/-219210soft"
3926,"0hard/-219170soft"
3945,"0hard/-219140soft"
3980,"0hard/-219100soft"
4014,"0hard/-219080soft"
4069,"0hard/-219040soft"
4085,"0hard/-219000soft"
4170,"0hard/-218650soft"
4363,"0hard/-217800soft"
4514,"0hard/-217720soft"
4542,"0hard/-217680soft"
4660,"0hard/-217290soft"
4783,"0hard/-216400soft"
4819,"0hard/-215760soft"
4925,"0hard/-215410soft"
4983,"0hard/-215030soft"
