"timeMillisSpent","score"
262,"0hard/-132440soft"
269,"0hard/-132090soft"
279,"0hard/-131020soft"
283,"0hard/-130570soft"
298,"0hard/-130220soft"
304,"0hard/-129870soft"
313,"0hard/-129250soft"
317,"0hard/-128380soft"
331,"0hard/-128210soft"
335,"0hard/-127650soft"
354,"0hard/-127300soft"
356,"0hard/-126950soft"
363,"0hard/-126600soft"
373,"0hard/-126570soft"
380,"0hard/-125870soft"
381,"0hard/-125770soft"
383,"0hard/-125420soft"
385,"0hard/-125070soft"
386,"0hard/-124450soft"
387,"0hard/-124100soft"
397,"0hard/-123750soft"
405,"0hard/-123400soft"
407,"0hard/-123230soft"
426,"0hard/-122880soft"
427,"0hard/-122490soft"
460,"0hard/-122070soft"
473,"0hard/-121720soft"
487,"0hard/-121270soft"
488,"0hard/-120710soft"
497,"0hard/-120360soft"
522,"0hard/-120320soft"
553,"0hard/-120140soft"
577,"0hard/-119970soft"
878,"0hard/-119750soft"
927,"0hard/-119710soft"
953,"0hard/-119610soft"
971,"0hard/-119260soft"
1105,"0hard/-118990soft"
1178,"0hard/-118640soft"
1336,"0hard/-118420soft"
1445,"0hard/-118350soft"
1666,"0hard/-118330soft"
1669,"0hard/-118150soft"
1674,"0hard/-118110soft"
1856,"0hard/-118010soft"
1858,"0hard/-117660soft"
1935,"0hard/-117630soft"
2109,"0hard/-117590soft"
2131,"0hard/-117240soft"
2148,"0hard/-116750soft"
2599,"0hard/-116540soft"
2600,"0hard/-116440soft"
2685,"0hard/-116350soft"
3146,"0hard/-116230soft"
3168,"0hard/-116190soft"
3172,"0hard/-116120soft"
3182,"0hard/-116020soft"
3259,"0hard/-115920soft"
3644,"0hard/-115750soft"
4075,"0hard/-115550soft"
4201,"0hard/-115200soft"
5095,"0hard/-115150soft"
5132,"0hard/-114800soft"
5628,"0hard/-114520soft"
6500,"0hard/-114410soft"
7866,"0hard/-114280soft"
8993,"0hard/-114180soft"
11067,"0hard/-114050soft"
21405,"0hard/-113880soft"
21545,"0hard/-113800soft"
30776,"0hard/-113670soft"
36104,"0hard/-113460soft"
44151,"0hard/-113420soft"
144106,"0hard/-113390soft"
