"timeMillisSpent","score"
552,"0hard/-244360soft"
572,"0hard/-243970soft"
573,"0hard/-243620soft"
577,"0hard/-243270soft"
580,"0hard/-242710soft"
584,"0hard/-242360soft"
589,"0hard/-241740soft"
595,"0hard/-241390soft"
596,"0hard/-240790soft"
602,"0hard/-240440soft"
609,"0hard/-239570soft"
615,"0hard/-239220soft"
621,"0hard/-238700soft"
623,"0hard/-238020soft"
630,"0hard/-237770soft"
632,"0hard/-237290soft"
638,"0hard/-237210soft"
639,"0hard/-236450soft"
646,"0hard/-236260soft"
666,"0hard/-235910soft"
667,"0hard/-235560soft"
671,"0hard/-234900soft"
672,"0hard/-234550soft"
675,"0hard/-233760soft"
678,"0hard/-233140soft"
681,"0hard/-232790soft"
689,"0hard/-232170soft"
692,"0hard/-231610soft"
695,"0hard/-231440soft"
696,"0hard/-230960soft"
699,"0hard/-230760soft"
701,"0hard/-230410soft"
709,"0hard/-230020soft"
711,"0hard/-229630soft"
712,"0hard/-229590soft"
712,"0hard/-229240soft"
715,"0hard/-228890soft"
720,"0hard/-228760soft"
725,"0hard/-228310soft"
726,"0hard/-227440soft"
729,"0hard/-226570soft"
733,"0hard/-226220soft"
738,"0hard/-225870soft"
745,"0hard/-225520soft"
748,"0hard/-225270soft"
754,"0hard/-224420soft"
758,"0hard/-224070soft"
760,"0hard/-223410soft"
770,"0hard/-222990soft"
776,"0hard/-222640soft"
787,"0hard/-222440soft"
789,"0hard/-222090soft"
790,"0hard/-221410soft"
795,"0hard/-221340soft"
814,"0hard/-221050soft"
817,"0hard/-220880soft"
846,"0hard/-220440soft"
849,"0hard/-219960soft"
850,"0hard/-219210soft"
853,"0hard/-219030soft"
855,"0hard/-218930soft"
863,"0hard/-218720soft"
896,"0hard/-218460soft"
902,"0hard/-218110soft"
909,"0hard/-217810soft"
915,"0hard/-217710soft"
917,"0hard/-217440soft"
918,"0hard/-217050soft"
919,"0hard/-217010soft"
942,"0hard/-216590soft"
955,"0hard/-216420soft"
956,"0hard/-216070soft"
960,"0hard/-215920soft"
967,"0hard/-215470soft"
970,"0hard/-214830soft"
1174,"0hard/-214650soft"
1473,"0hard/-214550soft"
1474,"0hard/-214380soft"
1486,"0hard/-214030soft"
1540,"0hard/-213780soft"
1547,"0hard/-213740soft"
1744,"0hard/-213200soft"
1749,"0hard/-213160soft"
1750,"0hard/-212440soft"
1753,"0hard/-212040soft"
1788,"0hard/-211940soft"
1791,"0hard/-211590soft"
1793,"0hard/-211500soft"
1803,"0hard/-211110soft"
1805,"0hard/-211070soft"
1841,"0hard/-210690soft"
1846,"0hard/-210030soft"
2302,"0hard/-210000soft"
2304,"0hard/-209960soft"
2328,"0hard/-209440soft"
2333,"0hard/-209410soft"
2412,"0hard/-209140soft"
2469,"0hard/-209100soft"
2472,"0hard/-209060soft"
2481,"0hard/-208610soft"
2508,"0hard/-208510soft"
2534,"0hard/-208310soft"
2557,"0hard/-208150soft"
2722,"0hard/-207890soft"
2730,"0hard/-207410soft"
2806,"0hard/-207110soft"
3125,"0hard/-206850soft"
3129,"0hard/-206670soft"
3209,"0hard/-206540soft"
3288,"0hard/-206240soft"
3896,"0hard/-206190soft"
3921,"0hard/-205810soft"
3999,"0hard/-205730soft"
4125,"0hard/-205670soft"
4313,"0hard/-205610soft"
4335,"0hard/-205260soft"
4365,"0hard/-205040soft"
4367,"0hard/-204690soft"
4639,"0hard/-204600soft"
5041,"0hard/-204330soft"
5381,"0hard/-204000soft"
5389,"0hard/-203900soft"
5425,"0hard/-203860soft"
5694,"0hard/-203260soft"
6076,"0hard/-203110soft"
6077,"0hard/-203010soft"
6093,"0hard/-202660soft"
6528,"0hard/-202380soft"
6815,"0hard/-202180soft"
6833,"0hard/-201830soft"
7687,"0hard/-201760soft"
7758,"0hard/-201410soft"
7786,"0hard/-201230soft"
7845,"0hard/-201210soft"
7853,"0hard/-201170soft"
8112,"0hard/-200970soft"
9023,"0hard/-200830soft"
9140,"0hard/-200730soft"
9240,"0hard/-200630soft"
9425,"0hard/-200610soft"
9441,"0hard/-200260soft"
9445,"0hard/-200160soft"
10056,"0hard/-199930soft"
10934,"0hard/-199890soft"
10936,"0hard/-199790soft"
11435,"0hard/-199700soft"
11479,"0hard/-199660soft"
11618,"0hard/-199350soft"
12846,"0hard/-199090soft"
12853,"0hard/-199010soft"
12863,"0hard/-198970soft"
13375,"0hard/-198900soft"
13403,"0hard/-198730soft"
13421,"0hard/-198690soft"
13510,"0hard/-198610soft"
14334,"0hard/-198560soft"
15405,"0hard/-198370soft"
15413,"0hard/-198310soft"
15484,"0hard/-198130soft"
17150,"0hard/-197880soft"
17174,"0hard/-197820soft"
17180,"0hard/-197780soft"
17442,"0hard/-197680soft"
18536,"0hard/-197630soft"
19395,"0hard/-197530soft"
19454,"0hard/-197490soft"
19507,"0hard/-197410soft"
20074,"0hard/-197370soft"
21056,"0hard/-197310soft"
21486,"0hard/-197140soft"
21931,"0hard/-197050soft"
22577,"0hard/-197030soft"
23297,"0hard/-196990soft"
24370,"0hard/-196640soft"
26242,"0hard/-196620soft"
26790,"0hard/-196540soft"
27356,"0hard/-196500soft"
27497,"0hard/-196460soft"
27589,"0hard/-196420soft"
28118,"0hard/-196320soft"
28231,"0hard/-196180soft"
31506,"0hard/-196150soft"
35887,"0hard/-196110soft"
37309,"0hard/-196030soft"
37737,"0hard/-195970soft"
41967,"0hard/-195940soft"
43404,"0hard/-195880soft"
43952,"0hard/-195870soft"
43960,"0hard/-195840soft"
44422,"0hard/-195800soft"
46023,"0hard/-195450soft"
48097,"0hard/-195270soft"
52210,"0hard/-195240soft"
81360,"0hard/-195200soft"
91169,"0hard/-195100soft"
103017,"0hard/-195040soft"
104032,"0hard/-195000soft"
133622,"0hard/-194960soft"
229045,"0hard/-194900soft"
251732,"0hard/-194830soft"
