"timeMillisSpent","score"
35812,"0hard/-2020360soft"
35828,"0hard/-2020010soft"
35831,"0hard/-2019590soft"
35851,"0hard/-2019130soft"
35863,"0hard/-2018590soft"
35867,"0hard/-2018210soft"
35875,"0hard/-2017630soft"
35879,"0hard/-2016660soft"
35893,"0hard/-2016560soft"
35933,"0hard/-2016000soft"
35959,"0hard/-2015650soft"
35962,"0hard/-2015090soft"
35972,"0hard/-2014530soft"
35992,"0hard/-2014490soft"
36018,"0hard/-2014240soft"
36055,"0hard/-2013210soft"
36107,"0hard/-2012890soft"
36131,"0hard/-2012540soft"
36143,"0hard/-2012060soft"
36150,"0hard/-2011990soft"
36179,"0hard/-2011540soft"
36194,"0hard/-2011500soft"
36204,"0hard/-2011150soft"
36238,"0hard/-2011110soft"
36244,"0hard/-2011040soft"
36305,"0hard/-2011030soft"
36310,"0hard/-2010680soft"
36346,"0hard/-2009900soft"
36364,"0hard/-2009300soft"
36400,"0hard/-2009200soft"
36405,"0hard/-2008720soft"
36419,"0hard/-2008330soft"
36428,"0hard/-2008190soft"
36431,"0hard/-2007840soft"
36440,"0hard/-2007180soft"
36464,"0hard/-2006830soft"
36479,"0hard/-2006170soft"
36485,"0hard/-2006040soft"
36491,"0hard/-2005590soft"
36526,"0hard/-2005200soft"
36529,"0hard/-2004810soft"
36548,"0hard/-2004710soft"
36598,"0hard/-2004160soft"
36622,"0hard/-2003770soft"
36699,"0hard/-2003380soft"
36761,"0hard/-2003350soft"
36767,"0hard/-2003000soft"
36770,"0hard/-2002720soft"
36773,"0hard/-2002370soft"
36797,"0hard/-2001920soft"
36800,"0hard/-2001530soft"
36826,"0hard/-2001140soft"
36830,"0hard/-2000790soft"
36838,"0hard/-2000190soft"
36859,"0hard/-2000150soft"
36862,"0hard/-1999800soft"
36872,"0hard/-1999350soft"
36887,"0hard/-1999330soft"
36891,"0hard/-1998460soft"
36898,"0hard/-1997940soft"
36917,"0hard/-1997810soft"
36938,"0hard/-1997710soft"
36953,"0hard/-1997360soft"
36957,"0hard/-1997320soft"
36985,"0hard/-1996870soft"
37041,"0hard/-1996590soft"
37047,"0hard/-1996150soft"
37063,"0hard/-1995700soft"
37069,"0hard/-1995140soft"
37121,"0hard/-1995050soft"
37132,"0hard/-1994700soft"
37141,"0hard/-1994180soft"
37156,"0hard/-1993830soft"
37163,"0hard/-1993580soft"
37183,"0hard/-1993540soft"
37203,"0hard/-1993190soft"
37220,"0hard/-1992740soft"
37264,"0hard/-1992290soft"
37303,"0hard/-1991940soft"
37326,"0hard/-1991380soft"
37636,"0hard/-1991290soft"
37652,"0hard/-1990940soft"
37658,"0hard/-1990590soft"
37661,"0hard/-1989700soft"
37670,"0hard/-1989140soft"
37693,"0hard/-1989030soft"
37747,"0hard/-1988680soft"
37763,"0hard/-1988580soft"
37781,"0hard/-1988130soft"
37826,"0hard/-1987470soft"
37829,"0hard/-1987430soft"
37954,"0hard/-1987120soft"
37963,"0hard/-1986770soft"
37978,"0hard/-1986700soft"
37992,"0hard/-1986310soft"
38021,"0hard/-1986180soft"
38044,"0hard/-1986140soft"
38075,"0hard/-1985930soft"
38134,"0hard/-1985230soft"
38150,"0hard/-1985190soft"
38184,"0hard/-1984870soft"
38189,"0hard/-1984450soft"
38213,"0hard/-1984100soft"
38249,"0hard/-1983750soft"
38274,"0hard/-1983360soft"
38290,"0hard/-1983320soft"
38296,"0hard/-1982900soft"
38307,"0hard/-1982550soft"
38319,"0hard/-1982170soft"
38323,"0hard/-1981820soft"
38506,"0hard/-1981720soft"
38561,"0hard/-1981330soft"
38572,"0hard/-1980940soft"
38575,"0hard/-1980400soft"
38620,"0hard/-1979800soft"
38638,"0hard/-1979340soft"
38704,"0hard/-1978750soft"
38751,"0hard/-1978590soft"
38756,"0hard/-1978200soft"
38814,"0hard/-1977940soft"
38834,"0hard/-1977590soft"
38849,"0hard/-1977240soft"
38871,"0hard/-1976850soft"
38903,"0hard/-1976500soft"
38922,"0hard/-1975900soft"
38938,"0hard/-1975520soft"
38946,"0hard/-1975170soft"
39053,"0hard/-1975130soft"
39063,"0hard/-1974740soft"
39066,"0hard/-1973960soft"
39070,"0hard/-1973070soft"
39085,"0hard/-1972860soft"
39104,"0hard/-1972690soft"
39170,"0hard/-1972650soft"
39201,"0hard/-1972170soft"
39204,"0hard/-1971610soft"
39252,"0hard/-1971590soft"
39259,"0hard/-1971240soft"
39294,"0hard/-1971100soft"
39320,"0hard/-1970720soft"
39329,"0hard/-1970540soft"
39376,"0hard/-1970220soft"
39379,"0hard/-1969870soft"
39775,"0hard/-1969680soft"
39782,"0hard/-1969610soft"
39789,"0hard/-1969440soft"
39863,"0hard/-1969020soft"
39900,"0hard/-1968670soft"
39903,"0hard/-1968320soft"
39907,"0hard/-1967970soft"
39943,"0hard/-1967620soft"
39972,"0hard/-1967060soft"
39997,"0hard/-1967020soft"
40029,"0hard/-1966920soft"
